work_year,experience_level,employment_type,salary_in_usd,remote_ratio,company_size,employee_continent,company_continent,is_colocated
2022,3,FT,170000,NoRemote,M,NA,NA,1
2022,3,FT,130000,NoRemote,M,NA,NA,1
2022,3,FT,150000,NoRemote,M,NA,NA,1
2022,3,FT,95000,NoRemote,M,NA,NA,1
2022,2,FT,78000,FullRemote,M,SA,SA,1
2022,2,FT,42000,FullRemote,M,SA,SA,1
2022,3,FT,345600,NoRemote,M,NA,NA,1
2022,3,FT,230400,NoRemote,M,NA,NA,1
2022,3,FT,145000,NoRemote,M,NA,NA,1
2022,3,FT,115000,NoRemote,M,NA,NA,1
2022,2,FT,78000,FullRemote,M,SA,SA,1
2022,2,FT,48000,FullRemote,M,SA,SA,1
2022,3,FT,175950,FullRemote,M,NA,NA,1
2022,3,FT,130050,FullRemote,M,NA,NA,1
2022,3,FT,205600,NoRemote,L,NA,NA,1
2022,3,FT,105700,NoRemote,L,NA,NA,1
2022,3,FT,236600,FullRemote,M,NA,NA,1
2022,3,FT,89200,FullRemote,M,NA,NA,1
2022,2,FT,84000,FullRemote,M,SA,SA,1
2022,2,FT,54000,FullRemote,M,SA,SA,1
2022,1,FT,80000,FullRemote,L,NA,NA,1
2022,3,FT,200000,FullRemote,S,EU,EU,1
2022,1,FT,74286,FullRemote,L,NA,NA,1
2022,3,FT,165000,HalfRemote,S,NA,NA,1
2022,1,FT,33440,HalfRemote,L,EU,EU,1
2022,3,FT,185900,NoRemote,M,NA,NA,1
2022,3,FT,129300,NoRemote,M,NA,NA,1
2022,3,FT,169000,NoRemote,M,NA,NA,1
2022,3,FT,110600,NoRemote,M,NA,NA,1
2021,1,FT,5409,HalfRemote,L,AS,AS,1
2021,2,FT,75050,HalfRemote,L,OC,OC,1
2022,3,FT,225000,NoRemote,M,NA,NA,1
2022,3,FT,184100,NoRemote,M,NA,NA,1
2022,3,FT,185900,NoRemote,M,NA,NA,1
2022,3,FT,129300,NoRemote,M,NA,NA,1
2022,3,FT,225000,NoRemote,M,NA,NA,1
2022,3,FT,156400,NoRemote,M,NA,NA,1
